NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161328125,-30,-44,-30,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161523437.5,-27,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161718750,-26,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161914062.5,-24,-44,-24,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162109375,-24,-44,-24,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162304687.5,-25,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162500000,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162695312.5,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162890625,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163085937.5,-31,-44,-31,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163281250,-33,-44,-33,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163476562.5,-37,-44,-37,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163671875,-35,-44,-35,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163867187.5,-33,-44,-32,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1164062500,-29,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1164257812.5,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1164453125,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1164648437.5,-27,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1164843750,-26,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1165039062.5,-26,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1165234375,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1165429687.5,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1165625000,-28,-44,-28,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1165820312.5,-31,-44,-31,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1166015625,-33,-44,-33,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1166210937.5,-37,-44,-37,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1166406250,-36,-44,-36,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1166601562.5,-33,-44,-33,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1166796875,-30,-44,-30,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1166992187.5,-29,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1167187500,-27,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1167382812.5,-26,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1167578125,-25,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1167773437.5,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1167968750,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1168164062.5,-28,-44,-28,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1168359375,-30,-44,-30,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1168554687.5,-32,-44,-32,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1168750000,-36,-44,-36,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1168945312.5,-36,-44,-35,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1169140625,-34,-44,-34,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1169335937.5,-30,-44,-30,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1169531250,-30,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1169726562.5,-27,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1169921875,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1170117187.5,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1170312500,-25,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1170507812.5,-26,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1170703125,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1170898437.5,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1171093750,-28,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1171289062.5,-31,-44,-31,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1171484375,-34,-44,-34,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1171679687.5,-36,-44,-36,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1171875000,-37,-44,-37,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1172070312.5,-32,-44,-32,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1172265625,-30,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1172460937.5,-28,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1172656250,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1172851562.5,-26,-44,-26,-44
