NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161523437.5,-35,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161718750,-36,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161914062.5,-35,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162109375,-35,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162304687.5,-36,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162500000,-36,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162695312.5,-36,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162890625,-35,-30,-23,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163085937.5,-35,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163281250,-35,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163476562.5,-35,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163671875,-35,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163867187.5,-35,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164062500,-34,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164257812.5,-34,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164453125,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164648437.5,-35,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164843750,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165039062.5,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165234375,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165429687.5,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165625000,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165820312.5,-34,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166015625,-34,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166210937.5,-33,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166406250,-33,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166601562.5,-34,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166796875,-33,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166992187.5,-33,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167187500,-33,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167382812.5,-32,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167578125,-32,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167773437.5,-32,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167968750,-31,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168164062.5,-31,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168359375,-32,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168554687.5,-32,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168750000,-32,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168945312.5,-31,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169140625,-31,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169335937.5,-30,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169531250,-31,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169726562.5,-30,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169921875,-30,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170117187.5,-31,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170312500,-30,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170507812.5,-31,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170703125,-30,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170898437.5,-29,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171093750,-29,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171289062.5,-30,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171484375,-29,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171679687.5,-30,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171875000,-32,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172070312.5,-30,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172265625,-30,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172460937.5,-29,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172656250,-29,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172851562.5,-30,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1173046875,-29,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1173242187.5,-29,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1173437500,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1173632812.5,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1173828125,-29,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1174023437.5,-30,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1174218750,-30,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1174414062.5,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1174609375,-31,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1174804687.5,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1175000000,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1175195312.5,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1175390625,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1175585937.5,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1175781250,-30,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1175976562.5,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1176171875,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1176367187.5,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1176562500,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1176757812.5,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1176953125,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1177148437.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1177343750,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1177539062.5,-27,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1177734375,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1177929687.5,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1178125000,-27,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1178320312.5,-26,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1178515625,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1178710937.5,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1178906250,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1179101562.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1179296875,-27,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1179492187.5,-27,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1179687500,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1179882812.5,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1180078125,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1180273437.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1180468750,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1180664062.5,-27,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1180859375,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1181054687.5,-29,-30,-31,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1181250000,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1181445312.5,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1181640625,-29,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1181835937.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1182031250,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1182226562.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1182421875,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1182617187.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1182812500,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1183007812.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1183203125,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1183398437.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1183593750,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1183789062.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1183984375,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1184179687.5,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1184375000,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1184570312.5,-28,-30,-30,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1184765625,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1184960937.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1185156250,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1185351562.5,-27,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1185546875,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1185742187.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1185937500,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1186132812.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1186328125,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1186523437.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1186718750,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1186914062.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1187109375,-26,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1187304687.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1187500000,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1187695312.5,-26,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1187890625,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1188085937.5,-26,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1188281250,-26,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1188476562.5,-26,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1188671875,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1188867187.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1189062500,-26,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1189257812.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1189453125,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1189648437.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1189843750,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1190039062.5,-27,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1190234375,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1190429687.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1190625000,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1190820312.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1191015625,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1191210937.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1191406250,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1191601562.5,-28,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1191796875,-29,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1191992187.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1192187500,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1192382812.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1192578125,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1192773437.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1192968750,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1193164062.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1193359375,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1193554687.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1193750000,-26,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1193945312.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1194140625,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1194335937.5,-26,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1194531250,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1194726562.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1194921875,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1195117187.5,-26,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1195312500,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1195507812.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1195703125,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1195898437.5,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1196093750,-26,-30,-26,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1196289062.5,-28,-30,-28,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1196484375,-27,-30,-27,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1196679687.5,-28,-30,-29,-26
