NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power,SubCarrier Power dBmV,SubCarrier Power dBmV Offset,Meas Rx Power dBmV,Calc Rx Power dBmV
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1157421875,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1157617187.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1157812500,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1158007812.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1158203125,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1158398437.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1158593750,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1158789062.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1158984375,-31,-51,-42,-21,12,17.750612633917,-2.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1159179687.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1159375000,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1159570312.5,-31,-51,-42,-21,12,17.750612633917,-2.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1159765625,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1159960937.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1160156250,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1160351562.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1160546875,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1160742187.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1160937500,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161132812.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161328125,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161523437.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161718750,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1161914062.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162109375,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162304687.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162500000,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162695312.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1162890625,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163085937.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163281250,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163476562.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163671875,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1163867187.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164062500,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164257812.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164453125,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164648437.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1164843750,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165039062.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165234375,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165429687.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165625000,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1165820312.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166015625,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166210937.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166406250,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166601562.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166796875,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1166992187.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167187500,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167382812.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167578125,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167773437.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1167968750,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168164062.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168359375,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168554687.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168750000,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1168945312.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169140625,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169335937.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169531250,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169726562.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1169921875,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170117187.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170312500,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170507812.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170703125,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1170898437.5,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171093750,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171289062.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171484375,-28,-48,-42,-21,12,20.750612633917,0.750612633917001,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171679687.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1171875000,-31,-51,-42,-21,12,17.750612633917,-2.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172070312.5,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172265625,-30,-50,-42,-21,12,18.750612633917,-1.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1172460937.5,-29,-49,-42,-21,12,19.750612633917,-0.24938736608299905,6.750612633917001,27.01249137828022
